nome,email,telefone
João Silva,joao.silva@exemplo.com,(11) 98765-4321
Maria Santos,maria.santos@exemplo.com,(21) 98765-4322
Pedro Costa,pedro.costa@exemplo.com,(31) 98765-4323
Ana Oliveira,ana.oliveira@exemplo.com,(41) 98765-4324
Carlos Souza,carlos.souza@exemplo.com,(51) 98765-4325
Fernanda Lima,fernanda.lima@exemplo.com,(61) 98765-4326
Lucas Pereira,lucas.pereira@exemplo.com,(71) 98765-4327
Juliana Gomes,juliana.gomes@exemplo.com,(81) 98765-4328
Rafael Almeida,rafael.almeida@exemplo.com,(91) 98765-4329
Beatriz Carvalho,beatriz.carvalho@exemplo.com,(85) 98765-4330
